date, pm25, pm10, o3, no2, so2
2024/8/24, 35, 12, 37, 2, 
2024/8/25, 30, 7, 32, 6, 
2024/8/26, 18, 11, 35, 6, 
2024/8/27, 25, 14, 42, 6, 
2024/8/28, 33, 16, 46, 8, 
2024/8/29, 39, 21, 50, 7, 
2024/8/30, 51, 23, 52, 7, 
2024/8/31, 56, 24, 48, 6, 
2024/9/1, 62, 19, 38, 4, 
2024/9/2, 52, 14, 40, 4, 
2024/9/3, 34, 13, 38, 5, 
2024/9/4, 36, 18, 43, 5, 
2024/9/5, 48, 12, 32, 3, 
2024/9/6, 28, 9, 43, 5, 
2024/9/7, 19, 14, 28, 5, 
2024/9/8, 37, 8, 32, 2, 
2024/9/9, 18, 10, 28, 2, 
2024/9/10, 12, 10, 24, 2, 
2024/9/11, 18, 6, 23, 4, 
2024/9/12, 12, 9, 22, 5, 
2024/9/13, 16, 7, 28, 3, 
2024/9/14, 16, 6, 33, 4, 
2024/9/15, 14, 8, 20, 7, 
2024/9/16, 24, 12, 20, 4, 
2024/9/17, 36, 26, 32, 3, 
2024/9/18, 54, 36, 37, 3, 
2024/9/19, 59, 26, 32, 7, 
2024/9/20, 57, 24, 36, 9, 
2024/9/21, 57, 21, 32, 8, 
2024/9/22, 56, 21, 25, 6, 
2024/9/23, 54, 13, 35, 2, 
2024/9/24, 25, 13, 27, 3, 
2024/9/25, 20, 8, 32, 1, 
2024/9/26, 14, 4, 29, 2, 
2024/9/27, 5, 6, 26, 3, 
2024/9/28, 10, 6, 27, 4, 
2024/9/29, 17, 7, 25, 6, 
2024/9/30, 15, 12, 26, 3, 
2024/4/1, 36, 4, 36, 2, 
2024/4/2, 7, 7, 30, 5, 
2024/4/3, 10, 6, 31, 2, 
2024/4/4, 10, 7, 33, 6, 
2024/4/5, 14, 10, 41, 8, 
2024/4/6, 20, 15, 37, 9, 
2024/4/7, 29, 35, 34, 7, 
2024/4/8, 46, 54, 34, 5, 
2024/4/9, 61, 12, 37, 4, 
2024/4/10, 18, 13, 37, 10, 
2024/4/11, 27, 16, 43, 10, 
2024/4/12, 34, 19, 44, 10, 
2024/4/13, 41, 17, 34, 6, 
2024/4/14, 39, 14, 41, 4, 
2024/4/15, 28, 9, 35, 1, 
2024/4/16, 13, 5, 32, 3, 
2024/4/17, 10, 7, 29, 6, 
2024/4/18, 20, 8, 31, 3, 
2024/4/19, 24, 5, 33, 2, 
2024/4/20, 15, 4, 32, 2, 
2024/4/21, 13, 5, 33, 2, 
2024/4/22, 18, 9, 35, 5, 
2024/4/23, 27, 14, 34, 6, 
2024/4/24, 39, 9, 36, 4, 
2024/4/25, 22, 11, 33, 7, 
2024/4/26, 27, 7, 42, 5, 
2024/4/27, 17, 7, 39, 7, 
2024/4/28, 15, 6, 39, 4, 
2024/4/29, 12, 18, 41, 10, 
2024/4/30, 27, 50, 44, 6, 
2024/5/1, 65, 30, 33, 7, 
2024/5/2, 53, 10, 31, 3, 
2024/5/3, 20, 7, 36, 4, 
2024/5/4, 16, 5, 28, 2, 
2024/5/5, 11, 4, 31, 4, 
2024/5/6, 8, 6, 29, 3, 
2024/5/7, 10, 10, 24, 5, 
2024/5/8, 26, 14, 40, 6, 
2024/5/9, 43, 15, 46, 7, 
2024/5/10, 40, 15, 51, 6, 
2024/5/11, 40, 14, 46, 5, 
2024/5/12, 39, 11, 41, 6, 
2024/5/13, 28, 12, 48, 5, 
2024/5/14, 30, 11, 31, 4, 
2024/5/15, 24, 10, 38, 2, 
2024/5/16, 28, 5, 29, 1, 
2024/5/17, 8, 3, 33, 1, 
2024/5/18, 7, 5, 33, 2, 
2024/5/19, 10, 6, 37, 4, 
2024/5/20, 18, 7, 29, 5, 
2024/5/21, 20, 6, 32, 2, 
2024/5/22, 12, 11, 31, 4, 
2024/5/23, 19, 8, 35, 2, 
2024/5/24, 19, 6, 35, 3, 
2024/5/25, 12, 7, 39, 4, 
2024/5/26, 16, 6, 28, 3, 
2024/5/27, 18, 7, 37, 2, 
2024/5/28, 15, 8, 28, 3, 
2024/5/29, 14, 7, 33, 1, 
2024/5/30, 13, 5, 24, 4, 
2024/5/31, 15, 7, 29, 3, 
2024/6/1, 27, 7, 30, 2, 
2024/6/2, 22, 14, 31, 4, 
2024/6/3, 45, 19, 38, 4, 
2024/6/4, 51, 16, 29, 4, 
2024/6/5, 41, 13, 34, 3, 
2024/6/6, 33, 12, 42, 4, 
2024/6/7, 26, 14, 36, 4, 
2024/6/8, 36, 13, 39, 2, 
2024/6/9, 37, 10, 37, 4, 
2024/6/10, 27, 9, 31, 3, 
2024/6/11, 15, 12, 36, 3, 
2024/6/12, 18, 15, 39, 4, 
2024/6/13, 23, 11, 30, 7, 
2024/6/14, 21, 7, 28, 1, 
2024/6/15, 15, 5, 31, 1, 
2024/6/16, 10, 13, 21, 5, 
2024/6/17, 14, 15, 36, 4, 
2024/6/18, 17, 13, 37, 3, 
2024/6/19, 27, 14, 26, 3, 
2024/6/20, 27, 24, 34, 5, 
2024/6/21, 52, 12, 30, 2, 
2024/6/22, 26, 7, 29, 3, 
2024/6/23, 15, 13, 36, 5, 
2024/6/24, 33, 16, 39, 3, 
2024/6/25, 36, 26, 34, 9, 
2024/6/26, 46, 23, 42, 5, 
2024/6/27, 48, 17, 35, 5, 
2024/6/28, 46, 19, 36, 4, 
2024/6/29, 49, 25, 34, 1, 
2024/6/30, 50, 8, 26, 4, 
2024/1/1, 33, 4, 32, 1, 
2024/1/2, 11, 2, 32, 1, 
2024/1/3, 4, 3, 30, 6, 
2024/1/4, 7, 9, 10, 15, 
2024/1/5, 28, 10, 16, 7, 
2024/1/6, 33, 10, 24, 3, 
2024/1/7, 40, 8, 24, 3, 
2024/1/8, 33, 15, 18, 8, 
2024/1/9, 52, 28, 9, 15, 
2024/1/10, 78, 42, 5, 17, 
2024/1/11, 111, 51, 8, 17, 
2024/1/12, 141, 40, 11, 13, 
2024/1/13, 113, 29, 10, 12, 
2024/1/14, 90, 22, 24, 8, 
2024/1/15, 67, 10, 21, 14, 
2024/1/16, 35, 21, 24, 15, 
2024/1/17, 61, 8, 25, 7, 
2024/1/18, 27, 14, 21, 12, 
2024/1/19, 51, 20, 17, 12, 
2024/1/20, 66, 27, 15, 15, 
2024/1/21, 79, 12, 26, 7, 
2024/1/22, 40, 4, 27, 10, 
2024/1/23, 11, 5, 28, 7, 
2024/1/24, 12, 9, 26, 9, 
2024/1/25, 24, 8, 19, 7, 
2024/1/26, 20, 7, 19, 14, 
2024/1/27, 23, 19, 8, 13, 
2024/1/28, 61, 22, 4, 17, 
2024/1/29, 64, 26, 1, 18, 
2024/1/30, 62, 29, 13, 18, 
2024/1/31, 73, 17, 18, 12, 
2024/2/1, 51, 9, 22, 8, 
2024/2/2, 30, 7, 19, 10, 
2024/2/3, 17, 4, 23, 2, 
2024/2/4, 10, 4, 21, 6, 
2024/2/5, 10, 15, 26, 6, 
2024/2/6, 35, 12, 27, 2, 
2024/2/7, 22, 8, 24, 4, 
2024/2/8, 14, 16, 24, 7, 
2024/2/9, 31, 10, 5, 11, 
2024/2/10, 35, 13, 25, 3, 
2024/2/11, 46, 5, 21, 5, 
2024/2/12, 11, 12, 27, 9, 
2024/2/13, 20, 20, 24, 9, 
2024/2/14, 34, 11, 23, 10, 
2024/2/15, 18, 17, 20, 9, 
2024/2/16, 33, 12, 28, 8, 
2024/2/17, 31, 16, 23, 7, 
2024/2/18, 51, 8, 26, 3, 
2024/2/19, 26, 8, 27, 7, 
2024/2/20, 20, 13, 28, 7, 
2024/2/21, 32, 7, 37, 1, 
2024/2/22, 15, 3, 33, 4, 
2024/2/23, 6, 6, 32, 6, 
2024/2/24, 15, 8, 31, 10, 
2024/2/25, 24, 9, 21, 10, 
2024/2/26, 25, 10, 20, 5, 
2024/2/27, 32, 20, 22, 6, 
2024/2/28, 64, 23, 20, 9, 
2024/2/29, 70, 25, 14, 11, 
2024/3/1, 71, 17, 28, 7, 
2024/3/2, 54, 16, 25, 8, 
2024/3/3, 57, 18, 13, 9, 
2024/3/4, 57, 22, 13, 10, 
2024/3/5, 69, 11, 17, 10, 
2024/3/6, 43, 22, 21, 5, 
2024/3/7, 69, 24, 20, 7, 
2024/3/8, 74, 20, 26, 9, 
2024/3/9, 62, 13, 24, 7, 
